estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
38,301,8,"(1000000, 271)","(32, 8)",33875000,1.4160408183672317,4.823307288468804,Compute
39,301,8,"(1000000, 271)","(64, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
40,301,8,"(1000000, 271)","(64, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
41,301,8,"(1000000, 271)","(64, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
42,301,8,"(1000000, 271)","(128, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
43,301,8,"(1000000, 271)","(128, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
44,301,8,"(1000000, 271)","(256, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
45,301,16,"(1000000,)","(8,)",125000,2.3753614484423275,2.875351877281184,Compute
46,301,16,"(1000000, 271)","(1, 8)",34000000,2.409331035703369,2.8348117791983203,Compute
47,301,16,"(1000000,)","(16,)",62500,1.4026812191075273,4.86924606030276,Compute
48,301,16,"(1000000, 271)","(1, 16)",17000000,1.419679053005569,4.810946520300041,Compute
49,301,16,"(1000000,)","(32,)",62500,1.4026812191075273,4.86924606030276,Compute
50,301,16,"(1000000, 271)","(1, 32)",17000000,1.419679053005569,4.810946520300041,Compute
51,301,16,"(1000000,)","(64,)",62500,1.4026812191075273,4.86924606030276,Compute
52,301,16,"(1000000, 271)","(1, 64)",17000000,1.419679053005569,4.810946520300041,Compute
53,301,16,"(1000000,)","(128,)",62500,1.4026812191075273,4.86924606030276,Compute
54,301,16,"(1000000, 271)","(1, 128)",17000000,1.419679053005569,4.810946520300041,Compute
55,301,16,"(1000000,)","(256,)",62500,1.4026812191075273,4.86924606030276,Compute
56,301,16,"(1000000, 271)","(1, 256)",17000000,1.419679053005569,4.810946520300041,Compute
57,301,16,"(1000000, 271)","(2, 4)",34000000,2.409331035703369,2.8348117791983203,Compute
58,301,16,"(1000000, 271)","(2, 8)",17000000,1.419679053005569,4.810946520300041,Compute
59,301,16,"(1000000, 271)","(2, 16)",17000000,1.419679053005569,4.810946520300041,Compute
60,301,16,"(1000000, 271)","(2, 32)",17000000,1.419679053005569,4.810946520300041,Compute
61,301,16,"(1000000, 271)","(2, 64)",17000000,1.419679053005569,4.810946520300041,Compute
62,301,16,"(1000000, 271)","(2, 128)",17000000,1.419679053005569,4.810946520300041,Compute
63,301,16,"(1000000, 271)","(4, 2)",34000000,2.409331035703369,2.8348117791983203,Compute
64,301,16,"(1000000, 271)","(4, 4)",17000000,1.419679053005569,4.810946520300041,Compute
65,301,16,"(1000000, 271)","(4, 8)",17000000,1.419679053005569,4.810946520300041,Compute
66,301,16,"(1000000, 271)","(4, 16)",17000000,1.419679053005569,4.810946520300041,Compute
67,301,16,"(1000000, 271)","(4, 32)",17000000,1.419679053005569,4.810946520300041,Compute
68,301,16,"(1000000, 271)","(4, 64)",17000000,1.419679053005569,4.810946520300041,Compute
69,301,16,"(1000000, 271)","(8, 1)",33875000,2.4020545664266946,2.843399186455757,Compute
70,301,16,"(1000000, 271)","(8, 2)",17000000,1.419679053005569,4.810946520300041,Compute
71,301,16,"(1000000, 271)","(8, 4)",17000000,1.419679053005569,4.810946520300041,Compute
72,301,16,"(1000000, 271)","(8, 8)",17000000,1.419679053005569,4.810946520300041,Compute
73,301,16,"(1000000, 271)","(8, 16)",17000000,1.419679053005569,4.810946520300041,Compute
74,301,16,"(1000000, 271)","(8, 32)",17000000,1.419679053005569,4.810946520300041,Compute
75,301,16,"(1000000, 271)","(16, 1)",16937500,1.416027778099711,4.8233517065362665,Compute
76,301,16,"(1000000, 271)","(16, 2)",16937500,1.416027778099711,4.8233517065362665,Compute
77,301,16,"(1000000, 271)","(16, 4)",16937500,1.416027778099711,4.8233517065362665,Compute
78,301,16,"(1000000, 271)","(16, 8)",16937500,1.416027778099711,4.8233517065362665,Compute
79,301,16,"(1000000, 271)","(16, 16)",16937500,1.4160538586347529,4.823262871219422,Compute
80,301,16,"(1000000, 271)","(32, 1)",16937500,1.416027778099711,4.8233517065362665,Compute
81,301,16,"(1000000, 271)","(32, 2)",16937500,1.416027778099711,4.8233517065362665,Compute
82,301,16,"(1000000, 271)","(32, 4)",16937500,1.416027778099711,4.8233517065362665,Compute
83,301,16,"(1000000, 271)","(32, 8)",16937500,1.4160538586347529,4.823262871219422,Compute
84,301,16,"(1000000, 271)","(64, 1)",16937500,1.416027778099711,4.8233517065362665,Compute
85,301,16,"(1000000, 271)","(64, 2)",16937500,1.416027778099711,4.8233517065362665,Compute
86,301,16,"(1000000, 271)","(64, 4)",16937500,1.416027778099711,4.8233517065362665,Compute
87,301,16,"(1000000, 271)","(128, 1)",16937500,1.416027778099711,4.8233517065362665,Compute
88,301,16,"(1000000, 271)","(128, 2)",16937500,1.416027778099711,4.8233517065362665,Compute
89,301,16,"(1000000, 271)","(256, 1)",16937500,1.416027778099711,4.8233517065362665,Compute
90,301,32,"(1000000,)","(8,)",125000,4.320721907111928,1.5807543616166986,Compute
91,301,32,"(1000000, 271)","(1, 8)",34000000,4.388661081634011,1.5562833112319112,Compute
92,301,32,"(1000000,)","(16,)",62500,2.3753614484423275,2.875351877281184,Compute
93,301,32,"(1000000, 271)","(1, 16)",17000000,2.409357116238411,2.834781093250004,Compute
94,301,32,"(1000000,)","(32,)",31250,1.4026812191075273,4.86924606030276,Compute
95,301,32,"(1000000, 271)","(1, 32)",9000000,1.477916887754006,4.621369480647567,Compute
96,301,32,"(1000000,)","(64,)",31250,1.4026812191075273,4.86924606030276,Compute
97,301,32,"(1000000, 271)","(1, 64)",9000000,1.477916887754006,4.621369480647567,Compute
98,301,32,"(1000000,)","(128,)",31250,1.4026812191075273,4.86924606030276,Compute
99,301,32,"(1000000, 271)","(1, 128)",9000000,1.477916887754006,4.621369480647567,Compute
100,301,32,"(1000000,)","(256,)",31250,1.4026812191075273,4.86924606030276,Compute
101,301,32,"(1000000, 271)","(1, 256)",9000000,1.477916887754006,4.621369480647567,Compute
102,301,32,"(1000000, 271)","(2, 4)",34000000,4.388661081634011,1.5562833112319112,Compute
103,301,32,"(1000000, 271)","(2, 8)",17000000,2.409357116238411,2.834781093250004,Compute
104,301,32,"(1000000, 271)","(2, 16)",8500000,1.4197051335406108,4.8108581413427896,Compute
105,301,32,"(1000000, 271)","(2, 32)",8500000,1.4197051335406108,4.8108581413427896,Compute
106,301,32,"(1000000, 271)","(2, 64)",8500000,1.4197051335406108,4.8108581413427896,Compute
107,301,32,"(1000000, 271)","(2, 128)",8500000,1.4197051335406108,4.8108581413427896,Compute
108,301,32,"(1000000, 271)","(4, 2)",34000000,4.388661081634011,1.5562833112319112,Compute
109,301,32,"(1000000, 271)","(4, 4)",17000000,2.409357116238411,2.834781093250004,Compute
110,301,32,"(1000000, 271)","(4, 8)",8500000,1.4197051335406108,4.8108581413427896,Compute
111,301,32,"(1000000, 271)","(4, 16)",8500000,1.4197051335406108,4.8108581413427896,Compute
112,301,32,"(1000000, 271)","(4, 32)",8500000,1.4197051335406108,4.8108581413427896,Compute
113,301,32,"(1000000, 271)","(4, 64)",8500000,1.4197051335406108,4.8108581413427896,Compute
114,301,32,"(1000000, 271)","(8, 1)",33875000,4.374108143080662,1.5614611657016932,Compute
115,301,32,"(1000000, 271)","(8, 2)",17000000,2.409357116238411,2.834781093250004,Compute
116,301,32,"(1000000, 271)","(8, 4)",8500000,1.4197051335406108,4.8108581413427896,Compute
117,301,32,"(1000000, 271)","(8, 8)",8500000,1.4197051335406108,4.8108581413427896,Compute
118,301,32,"(1000000, 271)","(8, 16)",8500000,1.4197051335406108,4.8108581413427896,Compute
